"","SampleID","Group","Time","Status","AnimalID","GeneSymbol","onART.DNA.GMMC","week24.DNA.GMMC","onART.DNA.LN","Week24.DNA.LN","d10.p.t.i","d14.p.t.i","d21.p.t.i","d28.p.t.i","d42.p.t.i","d56.p.t.i","d84.p.t.i","d114.p.t.i","SetVL"
"X20171215_6518.d3.RNALater_PTL5036.3of4_S6","X20171215_6518.d3.RNALater_PTL5036.3of4_S6","Group3d","Day3","Rebound","M6518","X20171215_6518.d3.RNALater_PTL5036.3of4_S6",2766,133,1489,3,50,50,2330000,490000,305000,70800,30800,2410,4.207549108
"X20171215_6519.d3.RNALater_PTL5036.3of4_S7","X20171215_6519.d3.RNALater_PTL5036.3of4_S7","Group3d","Day3","Rebound","M6519","X20171215_6519.d3.RNALater_PTL5036.3of4_S7",2637,1344,1604,40,50,1900,5690,14500,43700,12400,8190,54100,3.78432352
"X20171215_6520.d3.RNALater_PTL5036.3of4_S8","X20171215_6520.d3.RNALater_PTL5036.3of4_S8","Group3d","Day3","Rebound","M6520","X20171215_6520.d3.RNALater_PTL5036.3of4_S8",3325,995,563,68,50,7980,1920000,65400,156000,92300,76600,19100,4.502930039
"X20171215_6521.d3.RNALater_PTL5036.3of4_S9","X20171215_6521.d3.RNALater_PTL5036.3of4_S9","Group3d","Day3","Rebound","M6521","X20171215_6521.d3.RNALater_PTL5036.3of4_S9",2452,128,123,72,50,762000,15000000,2410000,1430000,1900000,2030000,3290000,5.799726856
"X20171215_6522.d3.RNALater_PTL5036.3of4_S10","X20171215_6522.d3.RNALater_PTL5036.3of4_S10","Group3d","Day3","Rebound","M6522","X20171215_6522.d3.RNALater_PTL5036.3of4_S10",1252,7,162,114,50,50,201000,461000,144000,16500,17900,4310,3.953501716
"X20171218_6508.wk24.RNALater_PTL5036.4of4_S1","X20171218_6508.wk24.RNALater_PTL5036.4of4_S1","Group1d","Week24","NoRebound","M6508","X20171218_6508.wk24.RNALater_PTL5036.4of4_S1",3,3,8,3,50,50,50,50,50,50,50,50,1.698970004
"X20171218_6509.wk24.RNALater_PTL5036.4of4_S2","X20171218_6509.wk24.RNALater_PTL5036.4of4_S2","Group1d","Week24","NoRebound","M6509","X20171218_6509.wk24.RNALater_PTL5036.4of4_S2",7,3,32,3,50,50,50,50,50,50,50,50,1.698970004
"X20171218_6510.wk24.RNALater_PTL5036.4of4_S3","X20171218_6510.wk24.RNALater_PTL5036.4of4_S3","Group1d","Week24","NoRebound","M6510","X20171218_6510.wk24.RNALater_PTL5036.4of4_S3",8,3,15,3,50,50,50,50,50,50,50,50,1.698970004
"X20171218_6511.wk24.RNALater_PTL5036.4of4_S4","X20171218_6511.wk24.RNALater_PTL5036.4of4_S4","Group1d","Week24","Rebound","M6511","X20171218_6511.wk24.RNALater_PTL5036.4of4_S4",195,3,46,14,50,50,5860000,4040000,554000,274000,16700,3970,4.471873287
"X20171218_6512.wk24.RNALater_PTL5036.4of4_S5","X20171218_6512.wk24.RNALater_PTL5036.4of4_S5","Group1d","Week24","NoRebound","M6512","X20171218_6512.wk24.RNALater_PTL5036.4of4_S5",3,3,97,3,50,50,50,50,50,50,50,50,1.698970004
"X20171218_6513.wk24.RNALater_PTL5036.4of4_S6","X20171218_6513.wk24.RNALater_PTL5036.4of4_S6","Group2d","Week24","Rebound","M6513","X20171218_6513.wk24.RNALater_PTL5036.4of4_S6",217,3,42,3,662,250000,192000,75900,24100,18200,21300,84000,4.53463604
"X20171218_6514.wk24.RNALater_PTL5036.4of4_S7","X20171218_6514.wk24.RNALater_PTL5036.4of4_S7","Group2d","Week24","Rebound","M6514","X20171218_6514.wk24.RNALater_PTL5036.4of4_S7",690,3,145,3,50,15600,983000,139000,12700,5510,7660,12800,4.108007123
"X20171218_6515.wk24.RNALater_PTL5036.4of4_S8","X20171218_6515.wk24.RNALater_PTL5036.4of4_S8","Group2d","Week24","NoRebound","M6515","X20171218_6515.wk24.RNALater_PTL5036.4of4_S8",417,45,46,8,50,50,50,50,50,50,50,50,1.698970004
"X20171218_6516.wk24.RNALater_PTL5036.4of4_S9","X20171218_6516.wk24.RNALater_PTL5036.4of4_S9","Group2d","Week24","NoRebound","M6516","X20171218_6516.wk24.RNALater_PTL5036.4of4_S9",497,3,230,53,50,50,50,50,50,50,50,50,1.698970004
"X20171218_6517.wk24.RNALater_PTL5036.4of4_S10","X20171218_6517.wk24.RNALater_PTL5036.4of4_S10","Group2d","Week24","Rebound","M6517","X20171218_6517.wk24.RNALater_PTL5036.4of4_S10",738,3,141,66,50,50,50,19700,16800,1480,50,1290,2.699563369
"X20171218_6518.wk24.RNALater_PTL5036.4of4_S11","X20171218_6518.wk24.RNALater_PTL5036.4of4_S11","Group3d","Week24","Rebound","M6518","X20171218_6518.wk24.RNALater_PTL5036.4of4_S11",2766,133,1489,3,50,50,2330000,490000,305000,70800,30800,2410,4.207549108
"X20171218_6519.wk24.RNALater_PTL5036.4of4_S12","X20171218_6519.wk24.RNALater_PTL5036.4of4_S12","Group3d","Week24","Rebound","M6519","X20171218_6519.wk24.RNALater_PTL5036.4of4_S12",2637,1344,1604,40,50,1900,5690,14500,43700,12400,8190,54100,3.78432352
"X20171218_6520.wk24.RNALater_PTL5036.4of4_S13","X20171218_6520.wk24.RNALater_PTL5036.4of4_S13","Group3d","Week24","Rebound","M6520","X20171218_6520.wk24.RNALater_PTL5036.4of4_S13",3325,995,563,68,50,7980,1920000,65400,156000,92300,76600,19100,4.502930039
"X20171218_6521.wk24.RNALater_PTL5036.4of4_S14","X20171218_6521.wk24.RNALater_PTL5036.4of4_S14","Group3d","Week24","Rebound","M6521","X20171218_6521.wk24.RNALater_PTL5036.4of4_S14",2452,128,123,72,50,762000,15000000,2410000,1430000,1900000,2030000,3290000,5.799726856
"X20171218_6522.wk24.RNALater_PTL5036.4of4_S15","X20171218_6522.wk24.RNALater_PTL5036.4of4_S15","Group3d","Week24","Rebound","M6522","X20171218_6522.wk24.RNALater_PTL5036.4of4_S15",1252,7,162,114,50,50,201000,461000,144000,16500,17900,4310,3.953501716
